url_path,views_total,views_unique
/microsoft/power-platform-skills,4478,2626
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1583,912
/microsoft/power-platform-skills/tree/main/plugins,886,537
/microsoft/power-platform-skills/tree/main,850,466
/microsoft/power-platform-skills/tree/main/plugins/code-apps,437,249
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,416,305
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,318,201
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,307,213
/microsoft/power-platform-skills/tree/main/plugins/model-apps,300,180
/microsoft/power-platform-skills/issues,242,125
