url_path,views_total,views_unique
/microsoft/power-platform-skills,4366,2557
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1649,950
/microsoft/power-platform-skills/tree/main/plugins,883,526
/microsoft/power-platform-skills/tree/main,854,483
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,421,306
/microsoft/power-platform-skills/tree/main/plugins/code-apps,412,238
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,321,201
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,288,204
/microsoft/power-platform-skills/tree/main/plugins/model-apps,280,167
/microsoft/power-platform-skills/issues,243,129
